pitchwheel channel=15 pitch=0 time=48
pitchwheel channel=9 pitch=0 time=0
pitchwheel channel=3 pitch=-4884 time=2
pitchwheel channel=3 pitch=-4727 time=1
pitchwheel channel=3 pitch=-4569 time=4
pitchwheel channel=3 pitch=-4412 time=1
pitchwheel channel=3 pitch=-4254 time=2
pitchwheel channel=3 pitch=-4097 time=2
pitchwheel channel=3 pitch=-3939 time=2
pitchwheel channel=3 pitch=-3782 time=1
pitchwheel channel=3 pitch=-3624 time=2
pitchwheel channel=3 pitch=-3467 time=2
pitchwheel channel=3 pitch=-3309 time=1
pitchwheel channel=3 pitch=-3152 time=2
pitchwheel channel=3 pitch=-2994 time=2
pitchwheel channel=3 pitch=-2837 time=1
pitchwheel channel=3 pitch=-2679 time=2
pitchwheel channel=3 pitch=-2521 time=2
pitchwheel channel=3 pitch=-2364 time=1
pitchwheel channel=3 pitch=-2206 time=2
note_on channel=2 note=61 velocity=0 time=2
pitchwheel channel=3 pitch=-2049 time=0
pitchwheel channel=3 pitch=-1891 time=1
pitchwheel channel=3 pitch=-1734 time=2
pitchwheel channel=3 pitch=-1576 time=2
pitchwheel channel=3 pitch=-1261 time=1
note_on channel=2 note=57 velocity=74 time=2
pitchwheel channel=3 pitch=-1104 time=0
pitchwheel channel=3 pitch=-946 time=2
pitchwheel channel=3 pitch=-789 time=2
pitchwheel channel=3 pitch=-631 time=1
pitchwheel channel=3 pitch=-316 time=2
pitchwheel channel=3 pitch=-159 time=2
pitchwheel channel=3 pitch=-1 time=1
note_on channel=2 note=61 velocity=75 time=110
note_on channel=2 note=61 velocity=0 time=118
note_on channel=2 note=64 velocity=70 time=2
note_on channel=2 note=57 velocity=0 time=4
note_on channel=3 note=76 velocity=0 time=112
note_on channel=2 note=61 velocity=75 time=0
note_on channel=3 note=73 velocity=86 time=0
note_on channel=2 note=64 velocity=0 time=17
note_on channel=2 note=61 velocity=0 time=96
note_on channel=2 note=57 velocity=76 time=7
note_on channel=2 note=61 velocity=75 time=120
note_on channel=2 note=61 velocity=0 time=108
note_on channel=2 note=64 velocity=73 time=12
note_on channel=2 note=57 velocity=0 time=53
note_on channel=2 note=61 velocity=75 time=67
note_on channel=2 note=64 velocity=0 time=10
note_on channel=2 note=61 velocity=0 time=101
note_on channel=3 note=73 velocity=0 time=5
note_on channel=2 note=57 velocity=74 time=0
note_on channel=3 note=71 velocity=86 time=0
note_on channel=3 note=71 velocity=0 time=116
note_on channel=2 note=61 velocity=75 time=0
note_on channel=3 note=69 velocity=81 time=0
note_on channel=2 note=45 velocity=0 time=89
note_on channel=2 note=57 velocity=0 time=8
note_on channel=2 note=61 velocity=0 time=9
note_on channel=2 note=64 velocity=70 time=14
note_on channel=2 note=52 velocity=0 time=2
note_on channel=2 note=64 velocity=0 time=101
note_on channel=2 note=61 velocity=75 time=17
note_on channel=2 note=61 velocity=0 time=82
note_on channel=3 note=69 velocity=0 time=34
pitchwheel channel=3 pitch=405 time=2
note_on channel=2 note=44 velocity=75 time=0
note_on channel=2 note=52 velocity=77 time=0
note_on channel=2 note=56 velocity=75 time=0
note_on channel=3 note=77 velocity=86 time=0
pitchwheel channel=3 pitch=567 time=0
pitchwheel channel=3 pitch=729 time=35
pitchwheel channel=3 pitch=891 time=21
pitchwheel channel=3 pitch=1053 time=15
pitchwheel channel=3 pitch=1216 time=13
pitchwheel channel=3 pitch=1378 time=12
pitchwheel channel=3 pitch=1540 time=10
note_on channel=2 note=61 velocity=70 time=2
pitchwheel channel=3 pitch=1702 time=8
pitchwheel channel=3 pitch=1864 time=8
pitchwheel channel=3 pitch=2027 time=8
pitchwheel channel=3 pitch=2189 time=9
pitchwheel channel=3 pitch=2351 time=1
pitchwheel channel=3 pitch=2513 time=7
pitchwheel channel=3 pitch=2675 time=7
pitchwheel channel=3 pitch=2838 time=6
pitchwheel channel=3 pitch=3000 time=7
pitchwheel channel=3 pitch=3162 time=5
pitchwheel channel=3 pitch=3324 time=7
pitchwheel channel=3 pitch=3486 time=6
pitchwheel channel=3 pitch=3649 time=5
pitchwheel channel=3 pitch=3811 time=6
pitchwheel channel=3 pitch=3973 time=5
pitchwheel channel=3 pitch=4135 time=6
pitchwheel channel=3 pitch=4298 time=4
pitchwheel channel=3 pitch=4460 time=6
note_on channel=2 note=61 velocity=0 time=2
note_on channel=2 note=64 velocity=74 time=0
pitchwheel channel=3 pitch=4460 time=2
pitchwheel channel=3 pitch=4298 time=36
pitchwheel channel=3 pitch=4135 time=15
pitchwheel channel=3 pitch=3973 time=13
pitchwheel channel=3 pitch=3811 time=8
pitchwheel channel=3 pitch=3649 time=10
pitchwheel channel=3 pitch=3486 time=7
pitchwheel channel=3 pitch=3324 time=7
pitchwheel channel=3 pitch=3162 time=7
pitchwheel channel=3 pitch=3000 time=6
pitchwheel channel=3 pitch=2838 time=7
note_on channel=2 note=61 velocity=70 time=2
pitchwheel channel=3 pitch=2675 time=3
note_on channel=2 note=64 velocity=0 time=3
note_on channel=2 note=56 velocity=0 time=0
pitchwheel channel=3 pitch=2513 time=3
pitchwheel channel=3 pitch=2351 time=4
pitchwheel channel=3 pitch=2189 time=5
pitchwheel channel=3 pitch=2027 time=5
pitchwheel channel=3 pitch=1864 time=4
pitchwheel channel=3 pitch=1702 time=5
pitchwheel channel=3 pitch=1540 time=5
pitchwheel channel=3 pitch=1378 time=4
pitchwheel channel=3 pitch=1216 time=4
pitchwheel channel=3 pitch=1053 time=4
pitchwheel channel=3 pitch=891 time=3
pitchwheel channel=3 pitch=729 time=4
pitchwheel channel=3 pitch=567 time=4
pitchwheel channel=3 pitch=405 time=3
pitchwheel channel=3 pitch=242 time=4
pitchwheel channel=3 pitch=0 time=4
pitchwheel channel=3 pitch=-82 time=3
note_on channel=3 note=77 velocity=0 time=29
pitchwheel channel=3 pitch=-8192 time=9
note_on channel=2 note=61 velocity=0 time=1
pitchwheel channel=3 pitch=-8032 time=0
note_on channel=2 note=56 velocity=77 time=0
note_on channel=3 note=73 velocity=86 time=0
pitchwheel channel=3 pitch=-7871 time=14
pitchwheel channel=3 pitch=-7711 time=10
pitchwheel channel=3 pitch=-7550 time=6
pitchwheel channel=3 pitch=-7389 time=6
pitchwheel channel=3 pitch=-7229 time=5
pitchwheel channel=3 pitch=-7068 time=5
pitchwheel channel=3 pitch=-6908 time=5
pitchwheel channel=3 pitch=-6747 time=3
pitchwheel channel=3 pitch=-6586 time=4
pitchwheel channel=3 pitch=-6426 time=4
pitchwheel channel=3 pitch=-6265 time=3
pitchwheel channel=3 pitch=-6104 time=3
pitchwheel channel=3 pitch=-5944 time=3
pitchwheel channel=3 pitch=-5783 time=3
pitchwheel channel=3 pitch=-5623 time=3
pitchwheel channel=3 pitch=-5462 time=2
pitchwheel channel=3 pitch=-5301 time=3
pitchwheel channel=3 pitch=-5141 time=3
pitchwheel channel=3 pitch=-4980 time=2
pitchwheel channel=3 pitch=-4820 time=3
pitchwheel channel=3 pitch=-4659 time=2
pitchwheel channel=3 pitch=-4498 time=3
pitchwheel channel=3 pitch=-4338 time=1
pitchwheel channel=3 pitch=-4177 time=4
pitchwheel channel=3 pitch=-4016 time=1
pitchwheel channel=3 pitch=-3856 time=3
pitchwheel channel=3 pitch=-3695 time=2
pitchwheel channel=3 pitch=-3535 time=2
pitchwheel channel=3 pitch=-3374 time=1
pitchwheel channel=3 pitch=-3213 time=3
pitchwheel channel=3 pitch=-3053 time=2
pitchwheel channel=3 pitch=-2892 time=2
pitchwheel channel=3 pitch=-2731 time=1
note_on channel=2 note=61 velocity=74 time=3
pitchwheel channel=3 pitch=-2571 time=0
pitchwheel channel=3 pitch=-2410 time=2
pitchwheel channel=3 pitch=-2250 time=1
pitchwheel channel=3 pitch=-2089 time=2
pitchwheel channel=3 pitch=-1928 time=2
pitchwheel channel=3 pitch=-1768 time=1
